epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,561.165,1.27878,1.40916,1.4499,0.84787,0.866,0.88528,0.67801,0.90527,0.89844,1.29861,9.3198e-05,9.3198e-05,9.3198e-05
104,563.839,1.15749,1.32376,1.35447,0.85106,0.86907,0.88843,0.68097,0.9014,0.89703,1.29118,8.8347e-05,8.8347e-05,8.8347e-05
105,566.789,1.2101,1.38082,1.41391,0.83608,0.88241,0.88773,0.68034,0.91456,0.88884,1.29072,8.3496e-05,8.3496e-05,8.3496e-05
106,569.579,1.21085,1.33122,1.38109,0.82921,0.88645,0.88823,0.67775,0.92387,0.89339,1.29377,7.8645e-05,7.8645e-05,7.8645e-05
107,572.439,1.31878,1.43429,1.40938,0.83904,0.88198,0.89098,0.68556,0.89305,0.87931,1.27677,7.3794e-05,7.3794e-05,7.3794e-05
108,575.457,1.24534,1.37673,1.41108,0.83384,0.86796,0.8972,0.69687,0.86589,0.86463,1.26407,6.8943e-05,6.8943e-05,6.8943e-05
109,578.403,1.18438,1.27153,1.34513,0.84765,0.85675,0.89503,0.69341,0.8684,0.85549,1.26433,6.4092e-05,6.4092e-05,6.4092e-05
110,581.284,1.28871,1.43316,1.45603,0.85247,0.85679,0.89665,0.69311,0.87028,0.84541,1.26564,5.9241e-05,5.9241e-05,5.9241e-05
111,592.96,1.33661,1.64978,1.57307,0.82381,0.85964,0.89869,0.69281,0.88446,0.88303,1.2728,5.439e-05,5.439e-05,5.439e-05
112,597.043,1.33847,1.53126,1.50619,0.827,0.85832,0.89834,0.68658,0.88419,0.90818,1.27586,4.9539e-05,4.9539e-05,4.9539e-05
113,600.861,1.15744,1.37226,1.42074,0.82334,0.87349,0.89541,0.68289,0.90789,0.92917,1.28345,4.4688e-05,4.4688e-05,4.4688e-05
114,604.214,1.19562,1.40959,1.45998,0.84128,0.87265,0.89823,0.68579,0.93525,0.93949,1.29339,3.9837e-05,3.9837e-05,3.9837e-05
115,607.6,1.29939,1.52695,1.47568,0.86052,0.85886,0.89866,0.67292,0.98883,0.97027,1.32074,3.4986e-05,3.4986e-05,3.4986e-05
116,610.923,1.15521,1.34969,1.38118,0.85611,0.86047,0.89578,0.67207,1.00174,0.98611,1.32852,3.0135e-05,3.0135e-05,3.0135e-05
117,613.978,1.2154,1.41903,1.40946,0.85293,0.86066,0.89697,0.67588,0.99722,0.9902,1.32495,2.5284e-05,2.5284e-05,2.5284e-05
118,617.294,1.07503,1.48319,1.34494,0.85272,0.84675,0.89053,0.67306,0.98231,0.98391,1.31324,2.0433e-05,2.0433e-05,2.0433e-05
119,620.846,1.17563,1.51148,1.44584,0.87845,0.84163,0.9015,0.68601,0.93863,0.93689,1.29344,1.5582e-05,1.5582e-05,1.5582e-05
120,624.121,1.11909,1.36782,1.41593,0.86608,0.84108,0.89504,0.6826,0.93408,0.93578,1.29028,1.0731e-05,1.0731e-05,1.0731e-05
